timeStamp,user count
1615992232000,25372697
1615992518000,25355301
1615992804000,25327233
1615993090000,25292607
1615993376000,25216904
1615993662000,25153672
1615993948000,25094648
1615994234000,25044821
1615994520000,25002977
1615994806000,24955371
1615995091000,24904650
1615995377000,24856649
1615995663000,24813614
1615995949000,24775494
1615996235000,24754018
1615996521000,24724323
1615996807000,24694096
1615997093000,24606205
1615997379000,24602584
1615997665000,24498557
1615997951000,24480845
1615998237000,24441376
1615998523000,24437184
1615998808000,24426877
1615999094000,24416424
1615999380000,24405241
1615999666000,24394571
1615999952000,24387186
1616000238000,24384180
1616000524000,24381689
1616000810000,24382538
1616001096000,24385834
1616001382000,24388728
1616001668000,24387488
1616001954000,24395768
1616002240000,24405540
1616002525000,24415031
1616002811000,24427601
1616003097000,24435740
1616003383000,24448257
1616003669000,24455201
1616003955000,24456596
1616004241000,24455486
1616004527000,24457414
1616004813000,24461796
1616005099000,24463177
1616005385000,24459785
1616005671000,24453805
1616005957000,24444864
1616006242000,24437013
1616006528000,24429308
1616006814000,24419711
1616007100000,24409163
1616007386000,24394682
1616007672000,24368284
1616007958000,24327986
1616008244000,24289478
1616008530000,24265766
1616008816000,24236879
1616009102000,24205040
1616009388000,24167790
1616009674000,24127301
1616009959000,24084767
1616010245000,24038516
1616010531000,23987711
1616010817000,23932404
1616011103000,23870359
1616011389000,23782928
1616011675000,23693788
1616011961000,23608274
1616012247000,23521529
1616012533000,23432019
1616012819000,23337922
1616013105000,23235362
1616013391000,23128469
1616013676000,23022626
1616013962000,22911256
1616014248000,22794108
1616014534000,22671102
1616014820000,22532796
1616015106000,22357742
1616015392000,22207682
1616015678000,22066562
1616015964000,21927808
1616016250000,21787420
1616016536000,21651325
1616016822000,21506150
1616017108000,21367771
1616017393000,21226585
1616017679000,21088062
1616017965000,20948252
1616018251000,20801859
1616018537000,20641741
1616018823000,20479732
1616019109000,20327187
1616019395000,20184081
1616019681000,20051109
1616019967000,19922516
1616020253000,19791567
1616020539000,19657630
1616020825000,19532222
1616021111000,19408986
1616021396000,19288950
1616021682000,19174706
1616021968000,19061552
1616022254000,18922357
1616022540000,18803121
1616022826000,18694538
1616023112000,18595582
1616023398000,18504570
1616023684000,18418939
1616023970000,18339294
1616024256000,18265646
1616024542000,18198821
1616024828000,18140096
1616025113000,18089240
1616025399000,18046383
1616025685000,18003375
1616025971000,17953957
1616026257000,17910026
1616026543000,17868851
1616026829000,17834360
1616027115000,17805147
1616027401000,17777902
1616027687000,17751856
1616027973000,17729333
1616028259000,17707366
1616028545000,17689751
1616028830000,17673874
1616029116000,17661002
1616029402000,17639101
1616029688000,17574256
